#{"t_start": 1770572360.01943, "env_id": "None"}
r,l,t
-11.572586,1,2.388386
-11.395318,1,2.388417
-10.283344,1,2.399545
-34.679928,2,2.39956
-24.532259,2,2.399569
-8.726565,1,2.399576
-7.64149,1,2.410814
-110.55778,9,2.452246
-8.566504,1,2.460106
-188.14587,15,2.479062
-9.096964,1,2.487163
-194.20229,17,2.499453
-80.70033,8,2.499498
-12.715527,1,2.51044
-7.485466,1,2.510464
-8.204269,1,2.518949
-28.588156,2,2.527567
-7.6270247,1,2.536834
-70.717476,7,2.545633
-8.522268,1,2.545655
-9.566096,1,2.553821
-33.860325,3,2.569015
-309.5631,27,2.569043
-37.501434,4,2.569052
-13.488505,1,2.577154
-18.761772,2,2.585306
-105.66158,9,2.585325
-10.911185,1,2.593463
-59.156948,4,2.601934
-49.938423,4,2.617757
-103.76392,10,2.648776
-14.27892,1,2.657531
-114.75425,9,2.667849
-13.623361,1,2.667891
-169.42642,15,2.678359
-8.998961,1,2.687662
-52.411453,5,2.703729
-92.27569,9,2.730452
-13.708026,1,2.741281
-132.15399,10,2.756357
-8.185657,1,2.768755
-28.004492,3,2.768801
-340.3444,28,2.76881
-11.063288,1,2.777662
-101.92302,10,2.786923
-35.1547,3,2.817762
-41.559044,4,2.817852
-36.341652,4,2.817889
-9.688558,1,2.833337
-52.229404,5,2.85893
-7.632231,1,2.868934
-80.227135,6,2.868974
-8.170157,1,2.881325
-113.64433,10,2.891682
-27.666563,3,2.900809
-9.218462,1,2.900826
-8.7267885,1,2.908693
-161.80197,14,2.931154
-13.162544,1,2.939368
-89.17417,7,2.939394
-161.67905,13,2.958655
-9.068476,1,2.966935
-133.69563,12,2.977532
-8.775362,1,2.977561
-60.7873,7,2.986387
-8.267799,1,2.995175
-13.321117,1,3.003678
-32.36857,4,3.012594
-7.8595147,1,3.012638
-45.249794,4,3.012647
-9.331251,1,3.021
-9.060642,1,3.021021
-96.66924,8,3.057222
-188.89381,19,3.057261
-7.634184,1,3.066195
-7.576004,1,3.066222
-43.818054,4,3.08401
-105.14781,13,3.084041
-12.377204,1,3.092518
-12.561701,1,3.101564
-196.58577,16,3.101603
-7.2461042,1,3.109571
-106.68507,10,3.125021
-60.945812,5,3.135271
-16.65943,1,3.144692
-15.496782,2,3.144721
-12.030102,1,3.153967
-7.4094577,1,3.153982
-54.498257,6,3.153989
-9.7120075,1,3.164268
-8.710969,1,3.1643
-131.04271,10,3.16431
-9.041582,1,3.164318
-13.750441,1,3.173874
-9.384557,1,3.173888
-8.804156,1,3.173894
-7.679454,1,3.182384
-13.041362,1,3.182407
-116.359985,13,3.225173
-175.87376,14,3.235563
-15.224182,2,3.235588
-13.447799,1,3.244897
-7.9190264,1,3.244928
-7.5398407,1,3.253803
-10.434785,1,3.261886
-241.506,17,3.26191
-19.615454,1,3.269489
-12.552096,1,3.269503
-13.145014,1,3.27733
-126.41673,10,3.31394
-412.04248,33,3.324703
-184.17787,17,3.342459
